cid_model,pid_model
58259,10625
53584,11850
54770,11225
119536,14580
12508,8319
117392,18282
10558,15869
111016,9661
139785,16407
131279,8334
15880,15953
128864,10890
57822,6834
91059,15471
28058,13430
23969,6337
29703,18027
116391,9452
69552,2111
147969,14317
124784,6177
27376,2934
146058,1995
166151,1984
147893,4146
27963,4788
169321,16440
12061,18098
89934,11691
85093,12904
147893,2875
58447,4640
77238,18078
50492,5196
78862,4722
17315,6311
9300,16606
135479,12068
139785,18296
72731,14802
179940,11237
7108,4752
15007,6358
179600,12598
78862,10499
139582,6865
16057,1230
147969,10814
12508,7650
106501,12948
124784,15147
159403,9627
42369,7514
37709,11807
38782,6410
17315,15196
10490,6487
144825,4841
42369,4884
132740,5628
144825,320
36777,18122
27376,8896
151008,17054
72731,17579
173747,478
106501,5878
27963,673
52228,5843
79645,12997
90456,4686
1083,3455
117026,12269
48235,7611
10490,5065
61239,1665
61239,8567
179600,13420
159403,1737
116168,554
31718,17024
43143,8458
119536,5548
150372,14143
57893,10704
48235,8346
115988,13434
156643,5988
55003,17354
153625,16937
4606,2064
167015,11600
169321,7561
164036,151
79963,7901
60295,17676
156643,7897
60530,5417
20033,4882
856,10368
139785,15456
37661,8278
146488,1661
68195,2086
127865,13313
76594,2007
68195,8327
156643,8305
32723,14401
17302,7266
173920,12334
50492,7440
28058,8287
37661,16430
131279,9741
37661,6556
160027,5803
620,17596
135534,2498
156097,17363
91173,13266
126649,6035
120404,1396
170564,16706
58259,16100
77238,4895
180767,13198
61583,15365
5427,15602
182827,17508
73011,526
19436,14975
147969,11586
170564,15401
142682,15714
134046,841
134579,16374
116168,4479
1083,3618
7845,16481
120404,6256
52228,2303
21912,2526
17302,7986
66800,8658
135534,6105
58259,11728
176251,8125
21912,5261
130461,7064
180920,8141
80233,7189
60295,8795
21004,4519
85089,8867
169321,8787
16896,3118
127422,11392
32662,16669
74779,14206
55003,18055
10558,6515
85093,16918
63684,3990
139448,10818
130461,11270
161127,12669
181989,16520
127422,11430
68527,10629
120851,16585
9995,9867
89934,12305
58259,12879
32896,15961
20033,7244
53511,5710
116168,10162
121711,17072
126095,15439
169866,11629
141303,1405
77238,11576
50492,12624
48235,9339
146575,15720
70330,643
178121,15947
117392,2673
62482,554
62482,14249
131279,5989
141042,2496
18101,15193
78862,8491
70330,16000
94897,14036
38336,694
75889,10348
4822,14615
160027,5293
134579,15733
177065,10207
106501,9728
176563,16925
180767,8100
118203,5729
80233,6187
103240,240
96032,13092
140540,3758
9400,3276
177065,3908
141303,9906
94897,838
135479,1660
28058,2091
32723,4309
60295,10618
28229,4157
4417,11679
118044,3249
32890,11579
91059,3630
37661,7648
53584,12058
118203,17632
56449,330
150372,11324
4606,2945
4606,7633
28058,4989
164353,11548
92217,11231
177065,10428
10490,17976
117392,9540
180767,6925
4606,12969
177065,10502
18087,9097
19436,14720
5425,16281
82408,7604
10490,6981
125625,16547
51159,5951
50492,9125
27376,15764
120851,9151
57815,2869
62482,115
81597,8884
153625,15153
19589,2104
37709,2157
620,3404
99161,522
128041,7769
62970,14094
101402,11726
51159,6651
52695,12383
152780,1271
101402,10320
18087,15354
74355,12047
91059,15384
54770,1440
92860,15510
9995,5478
139785,13608
151325,16690
65424,12508
7845,8683
54770,15289
7845,6428
63684,16947
103112,2309
101402,13476
106681,1664
69552,13573
32890,1087
17302,12191
145654,5621
123369,8590
115988,15053
178121,17365
96032,12982
80045,6390
53896,9622
151268,4239
139582,349
61583,11243
132740,3088
111931,16278
16057,17693
170564,5924
97096,14525
27376,4794
85093,11667
70330,3086
179567,10748
19589,10392
91059,2752
118203,939
81597,7574
181989,3231
18101,3823
58259,17057
71668,4315
17302,423
51159,18099
4417,17807
20033,12701
56963,15600
60295,4486
140540,17620
147969,5988
176054,14206
60295,13285
26085,12449
29458,5639
48235,9813
179940,17148
17583,5479
6952,13278
130461,6956
141303,6490
169866,12789
154485,12479
7845,355
43621,14612
11931,2689
57815,9594
92217,9055
128041,1405
143122,12390
139785,4069
130461,15657
127685,2212
62970,6160
57815,14330
57815,2183
127865,16055
123369,5927
159403,14167
620,5889
70330,13483
29703,12872
166151,15155
17315,16843
178121,16371
168538,5764
69552,12250
44355,3227
141303,11393
60840,15959
75889,4465
146575,7173
120935,6088
88743,9618
147815,6974
51159,12050
88743,13007
90456,12799
16896,17822
117392,13559
31718,17838
128164,6121
91173,12111
53896,12922
7108,5688
26085,3019
20033,4382
26808,4827
173920,13689
60530,2836
12061,8683
82408,17247
21004,2681
140540,17148
146575,4363
65424,14491
37411,1974
164036,558
57822,2199
111016,5103
61583,15442
27376,3534
65585,12168
7108,5733
9300,9990
4606,5649
52228,14606
141303,12381
141303,5549
136269,17219
64576,546
65585,6741
78862,11783
118667,10501
139582,7526
32723,7041
85093,7034
146163,11416
18087,1793
37411,9510
71668,2910
151268,17201
61583,4068
104346,11237
36777,10712
38782,7732
60295,6035
176563,9647
136269,5298
23127,11041
9995,9958
120935,1938
166151,5729
117229,12712
143122,14585
125625,16766
116287,9456
108028,13536
15007,3241
133183,12540
173920,15048
117799,7189
121597,7803
54770,10598
6952,11685
21912,17191
60530,16337
85093,3043
144825,909
6606,17042
47250,1315
42369,8624
4387,5984
62970,7360
165885,14369
43143,14061
12508,12415
168538,723
144522,15502
143122,15705
886,13804
886,11605
85093,1664
102228,1505
52228,5254
113974,3737
133183,13445
147969,17647
173752,12868
55003,18133
135479,12007
79918,1849
146058,8166
60530,7422
164084,8153
32890,3105
166151,11131
57822,11969
32890,5934
57822,13590
5427,12161
120404,17939
117229,1177
154485,909
1083,17
62482,16186
161127,16473
134579,6271
127422,2984
133183,2923
12508,2946
37709,5704
132740,18132
117026,523
53511,9172
173996,15574
19436,6656
85089,7899
79918,1384
10490,7580
120404,12714
97096,7078
76594,12170
38782,10648
121711,5477
139582,201
17583,4525
176251,17521
56963,15705
119536,2889
116287,16626
164353,9609
16057,5821
116287,17056
119536,1054
37709,13902
121711,17591
135534,16794
139785,6441
57815,11231
126095,4861
168538,11295
10490,4298
79918,6256
181989,895
179940,9420
169321,12243
120404,17822
179940,6735
116287,16043
856,11645
111931,1753
105545,6989
21912,10909
42865,14861
79963,17317
51159,10364
25558,16979
111016,7920
116168,15636
88743,10772
8970,768
85093,1137
19589,11044
182827,7147
92860,2501
50492,10369
18087,12619
70330,14242
118044,11602
167414,17742
124784,14356
118667,15609
106501,14113
56449,9808
24340,2576
127422,3986
141042,12166
179600,1490
61325,14765
52695,1132
139582,10391
173747,15964
21004,5510
92860,2042
97096,15762
181989,17617
60530,15911
32723,14615
164353,5729
115988,7368
27963,6739
119522,15289
27963,9658
127865,10902
104346,3886
90456,8734
92217,2544
134046,16747
42369,1104
182827,6898
37661,7909
137311,15609
153625,13391
51159,13255
89934,707
151268,4431
116168,18010
126649,12375
108028,10283
9400,12573
79918,13860
117229,4249
118667,12564
166151,17256
6606,12703
97771,2392
53511,12997
134579,12951
144825,5656
117026,1715
104856,5307
158490,3534
61325,16296
80233,7351
51110,983
62970,13616
62970,1748
5425,552
103112,12372
32723,17736
159403,2133
179600,11489
133163,2678
12508,4654
15880,2875
139785,3575
82408,6436
17583,7102
97096,11313
170564,1838
113974,13578
146058,5274
176054,12220
53511,9265
128864,9048
121711,18050
152780,17632
53584,7112
117392,16002
65424,13126
23969,1131
31493,3444
168538,491
52695,1572
6511,930
56963,17695
886,3332
72731,968
60530,10149
144522,14139
85093,5619
176054,1327
53511,405
102070,12381
164353,18077
135534,15829
117799,13239
23127,12914
128041,16077
77238,10100
135479,7661
60295,16079
182827,15268
140540,5959
173752,13082
56449,6908
79963,1952
43621,14918
126649,13445
147969,11691
15880,14674
52228,18116
176563,10369
75889,6463
68195,3810
181989,8756
146488,6743
68527,15986
127422,11595
168763,9652
168538,15342
81597,621
48235,17980
134579,17733
174610,7523
9449,14974
18087,16517
5425,13025
121597,9368
118044,8111
56416,17826
59499,14193
26085,7841
161127,2006
140540,6556
116287,6651
143122,10037
132740,15832
4606,13075
125625,13150
117799,11560
135534,5860
21912,9555
136269,15912
135534,16277
42369,407
165979,14195
57893,8937
75889,9014
28229,5137
20033,10425
139785,17462
91173,7840
60295,1417
160027,13153
102070,13140
169866,17786
620,2565
180920,8577
9995,7919
173747,13606
92217,1640
62970,8731
36777,5693
96032,17788
92217,11369
111931,16330
88743,7049
91059,3290
101402,1855
121711,1849
7108,16155
160027,2234
70330,5254
144707,8747
113974,1740
6511,17882
43621,3998
81597,6212
104856,10083
164680,3630
142682,15651
68195,10280
116168,9569
21004,11107
118203,8282
53511,3929
130461,11385
9300,10151
169581,3294
62970,4798
164084,7038
63684,9146
101402,7933
165885,8734
146488,15154
173752,15755
59499,14156
24340,9914
57893,2846
117392,2074
60840,5272
181989,15075
153625,3608
21912,3766
113974,13794
118203,15057
6952,12360
28229,5282
80045,12393
63684,15288
61239,6244
132740,4186
127865,5708
169866,7102
68527,15718
141042,8574
57815,7719
91059,8033
61180,8330
4417,3841
55003,16991
4387,4369
132740,14871
144522,10945
80233,1318
64576,18169
97995,17083
173747,623
21004,11832
54770,1057
9300,4847
97995,13075
69552,7906
146163,18185
102228,18044
55003,17931
139448,17487
143122,7290
160027,14000
16057,13127
118203,12191
132740,8328
32662,11171
37661,10348
146163,5033
53511,1083
7845,4576
15007,2617
66800,12313
147969,6556
111016,398
6952,18255
43143,9054
51159,1505
31718,3773
31493,2473
18087,1483
130461,7235
146058,7365
90456,3290
158490,15720
81597,8811
53584,7063
9300,17980
60840,3301
53896,1388
176054,14306
20033,9401
21912,1820
9300,7471
53511,17589
31493,7297
115988,14802
24340,5711
82408,5850
132740,5193
37661,3645
57822,890
120935,11014
147969,15995
53896,9703
60295,3301
38336,1740
18087,91
104346,18155
164680,8215
56121,2433
79645,9585
111016,11765
85093,2086
68527,11605
63684,13679
19436,11795
42369,5041
32662,581
136269,72
29458,14983
146058,5326
26808,3532
135534,6318
15007,11260
167414,1087
139448,16454
21912,7561
26085,13718
134046,12454
856,14008
61325,11926
101402,7191
1083,10630
65585,2854
43621,1084
38782,1351
91059,10142
886,8506
32890,10983
79963,14127
16057,1066
117392,7167
142682,590
50492,8368
75325,4674
167015,3349
42865,9941
123369,959
170564,9018
77993,13332
117392,17559
146058,1978
179940,16773
91059,2470
42369,16049
42865,3280
66704,1555
168538,14459
54770,17837
65424,2861
134046,1994
61325,1816
144707,11185
167414,7282
79963,5456
169581,11914
15880,4150
123369,14939
133183,5226
48235,14212
53896,4780
156097,9594
142682,6495
74779,3740
4606,4414
121597,13281
127865,2879
77993,12545
4606,11118
103112,17437
27376,305
118044,18186
32723,4315
9300,3806
856,14933
76594,12785
139785,7702
63684,11067
60840,17832
6952,2334
38336,17766
97771,12414
176251,14289
145654,3215
168763,17948
25558,16924
36777,6916
127685,11062
118667,8251
119522,554
106501,2114
147969,3983
158503,12151
38782,10157
31493,4721
104856,7278
62482,11062
53511,13588
21912,1650
11931,16391
117799,14596
38336,10591
139785,17634
56963,10859
15880,3406
164680,9754
158490,11992
181989,16296
140540,11155
115988,13807
151268,11132
12508,1547
169581,6211
150372,12379
76594,8309
92217,2537
37709,1196
79963,1433
48235,16987
5425,16517
169321,15103
103240,7313
147815,14837
51159,5334
57815,14745
74355,16003
21912,14731
167015,11388
159403,7459
174610,5218
56416,6505
102070,14890
66704,6717
56121,11285
21912,12119
21912,11992
60840,12369
6952,1431
18101,226
125625,3522
146058,17480
21004,3263
85089,7560
91173,3977
91059,2373
61583,14734
12061,6550
71668,14264
113974,5672
28058,17523
56449,15647
32723,13162
5427,4771
168763,12449
173996,14448
117799,13016
62482,3218
117026,563
169866,14488
178121,7290
120935,10413
56416,5944
106501,16065
68195,5910
43621,4698
68195,15878
32896,13929
7108,9641
6511,6179
24340,10236
85089,14012
132740,16666
134046,16371
27376,9238
104856,3422
177065,13503
62482,18080
15007,17063
56416,1157
32723,11450
176563,13414
56449,4185
79918,3898
58259,3917
25558,15110
101402,8102
111931,10528
111016,15615
6952,2853
37709,11841
61583,1519
118044,8814
71668,8407
58259,8827
106681,4975
141042,11243
61239,2559
180920,11401
108028,16530
134579,8350
130461,4365
127685,17530
146058,7235
56963,16505
60530,12691
161127,9861
856,163
102228,1516
164353,7732
158503,1571
174805,6184
94897,7431
108028,1865
173996,5444
133183,6228
29703,1696
10490,1262
85093,12925
74779,455
173996,17697
15880,12620
19589,14070
111931,5618
57822,9295
147893,17784
127422,11262
51159,4999
125625,16337
135534,18089
176251,11750
19436,519
42865,3869
62482,8881
96032,5746
158490,7436
5425,899
158490,3149
153625,6048
133163,11127
50492,2366
176054,5876
115988,6908
85089,7102
146575,13307
68527,8102
4606,2212
19436,9567
173747,9191
142682,6523
16896,6346
64576,13538
78862,3587
134579,15165
164084,1510
69552,12275
115872,5734
80045,15536
52695,2675
15880,1941
116168,7939
6952,3968
54770,3693
158503,7963
66800,17017
170564,8893
16896,17230
9449,17284
19436,1012
74779,17266
1083,11274
62482,12537
139448,13153
118044,11171
161127,1807
5427,225
97995,14536
60840,12388
5427,16963
136269,265
61239,11668
5427,4229
12508,14982
74153,7849
8970,17190
69552,12420
29458,11001
159403,1610
127685,3510
176563,9568
43143,3999
25558,17653
158503,115
23969,17108
56963,8823
9300,3539
7845,17230
19436,3436
80045,13268
139785,9952
57893,18002
116391,12223
173920,3948
65424,241
111016,5050
16896,9307
152780,15846
121597,9705
20033,6592
92860,16658
104856,519
62970,9022
103112,3842
141303,17273
74779,8890
151008,10441
79645,3269
60530,12833
91059,13791
79963,2808
177065,17223
89934,11526
15007,7549
142682,10594
121711,8369
139448,69
57893,17612
37709,885
29703,7764
12061,8667
150372,14589
8970,7042
31718,14773
31493,16847
74779,6220
50492,17644
61239,3027
150372,13499
142682,1957
168538,8249
130461,6255
32662,14289
128864,10267
66800,5700
113974,13644
63684,7496
117229,4524
58259,13687
18087,4247
144522,6122
147893,14164
17302,9618
174610,9155
150372,14796
62482,12118
25558,15390
15880,13435
113974,172
8970,3143
124784,4629
53511,11714
180767,7984
28058,13902
48235,12283
141042,5147
20033,5068
18101,9148
61239,2206
165979,2542
118203,11911
167015,4251
118044,282
117026,3642
61583,833
56963,8538
16057,17265
57822,7218
134579,226
120404,1205
103112,15758
68527,15720
108028,16619
105545,3077
1083,8323
51159,7391
43143,8765
42369,13813
37661,8376
37411,12504
80233,2906
167414,8774
19589,16403
80233,8664
60295,15829
20033,4451
164680,3653
32662,3419
77993,17740
115872,3702
7845,9451
52695,2320
74153,5340
106681,13139
5425,17877
74355,5949
176251,6384
61583,4833
165885,2777
59499,13877
96032,2915
179940,17625
182827,17359
85093,4404
165885,5969
29703,1567
21004,8186
27963,15490
10558,9033
77993,15757
94897,8706
144522,12870
16896,10259
60840,11919
97995,4785
76594,8017
118667,5615
158503,11731
164084,9502
4822,15712
4606,6836
136269,3772
17315,15639
179940,8551
886,15760
9995,13378
74779,9188
151325,7525
61325,8182
37411,9929
113974,7601
71668,9865
116168,6661
153625,10209
60295,15152
81597,7224
144825,10998
104346,12008
125625,6462
169581,15819
77238,5482
59499,9182
103112,12562
147815,17871
32723,15077
4822,8272
108028,8816
164680,17779
180920,15775
8970,12871
23127,7484
168538,16391
106681,4938
32896,10501
68195,13778
102228,5167
19589,939
146163,12151
140540,15344
116168,5061
54770,16630
9449,16920
56121,2404
44355,14285
68195,8775
9300,2106
169321,16183
6606,7309
178121,18301
181989,12583
168538,18192
127865,4134
52695,6337
169866,3358
117026,986
128041,14884
92860,15969
5427,9895
74779,17134
57822,15323
103112,7634
856,11783
115988,14334
17315,17531
17583,9591
17302,5972
62482,12712
116287,6533
36777,1530
4387,11721
134046,4151
164353,1412
177065,16411
132740,9993
91059,17442
151008,8703
97771,14231
168763,2342
79963,1718
151268,9880
135479,12054
19589,4670
9300,474
57822,5355
82408,14260
168763,6077
43621,15892
52695,15356
620,11640
76594,7512
74355,15534
104346,1272
27963,3713
4417,11446
103240,707
168538,3216
65585,9300
106501,18220
9300,4669
116287,2082
72731,14817
181989,14089
180767,11146
128864,5711
19436,9903
56449,18211
60295,3610
72731,6016
43621,16825
16057,17263
133163,252
60295,2421
168763,12151
66704,5876
61325,13743
180767,11768
154485,10628
856,2515
75325,18275
154485,4954
116287,5807
24340,7897
856,2856
174805,581
139582,113
97096,14729
117026,1511
136269,5143
51110,2062
53511,5292
141042,14864
37709,13131
116391,4318
108028,12607
152780,11207
7845,1963
97995,7241
7108,1814
9995,554
139582,17691
75325,5786
51110,1207
151325,12828
168538,14684
55003,12964
32896,12365
152780,8930
24340,10756
139785,17407
62482,6571
135479,3886
169581,4047
32723,11564
118203,10592
4417,16887
173752,27
106501,7862
133163,6827
5425,6221
144707,291
52695,17403
79645,11609
151325,9383
66800,2743
43621,13703
60530,7411
54802,15175
160027,16806
173996,13314
125625,8092
4387,13337
165979,14078
4606,14246
53511,17361
127685,12443
9449,11083
66800,14513
173747,1784
7845,6166
169866,399
103240,8727
164084,7827
168763,11015
128864,14677
64576,3993
102070,16036
118203,7017
117392,9579
164680,11665
126095,13347
6606,7766
27963,12035
856,17125
59499,3544
120404,9351
173752,17272
128164,1822
32890,5576
167414,2979
180767,11993
120851,12092
153625,1415
9995,14555
36777,12011
123369,5544
66800,15556
37661,505
167015,14599
121711,596
136269,12747
125625,12437
166151,4386
168763,4550
9995,17110
146058,10425
141303,6765
146163,5008
117229,18191
79918,17466
60295,7630
161127,15711
134579,5961
141042,15228
37411,15730
47250,8682
174805,329
127865,7043
42865,5702
137311,12924
18101,16308
180767,11610
165979,11900
147893,684
143122,4772
169581,1230
116287,8759
12061,11499
65585,1051
23127,3515
78862,13358
4606,11835
104856,10900
164084,9010
62482,6175
62482,2375
103240,5488
50492,7631
150372,1433
180767,8282
52695,15094
53896,5755
75325,11804
90456,3906
97995,12602
88743,3501
103112,5456
1083,7229
117392,9412
78862,1471
10490,14853
128864,8884
178121,2362
17315,17604
123369,144
27376,984
151008,5359
101402,623
81597,10893
12508,9675
70330,7669
97096,15557
48235,3134
80233,14090
101402,6363
166151,13779
78862,7842
144825,7705
6952,1100
32890,5027
126095,4655
54802,2418
102070,7384
9449,10325
116168,6625
168538,12623
146575,1012
168538,1344
10490,16546
17302,9538
128164,15574
131279,125
156097,10336
166151,15713
160027,2602
43621,5592
94897,13865
58259,4419
169581,11747
167015,14590
8970,393
620,16257
56121,14064
52695,15216
37709,6425
5427,4613
53584,12479
173996,4981
111931,14610
127865,1300
106681,14195
63684,15819
5425,16152
16896,10181
134046,17832
61583,17022
29703,5862
61239,11605
10558,6750
56449,3826
32890,12459
111016,15714
42369,17926
77238,10081
121597,15058
7845,2476
99161,6700
4822,15015
856,17319
66704,1679
136269,10111
55003,9495
176563,1911
124784,14352
65424,13065
164353,6351
101402,11231
28058,9055
16896,2159
97771,13277
5425,10246
140540,10902
158490,3644
80045,17102
176563,16319
169321,4650
27376,7606
4417,16548
97771,6442
32890,12357
97995,11482
118044,36
164680,17916
78862,6998
180767,17988
177065,825
173920,837
135534,3574
4387,10946
124784,11235
118203,9586
16057,2459
10490,4256
19436,13474
1083,6393
11931,10775
124784,6723
174610,2972
121597,14075
143122,6934
124784,10168
29458,6995
9400,14815
167015,17149
133183,15998
50492,6700
18101,3703
17302,518
121597,11240
147969,17293
97096,842
179940,12723
66800,9599
126649,12623
42369,6856
23969,1436
97096,8627
126649,1015
182827,16554
56121,13307
182827,4732
124784,18158
23127,3451
19589,10439
38336,2921
56121,17299
91059,140
42865,1440
77238,6692
169581,17413
182827,18291
4387,2642
113974,2132
51110,12574
141042,8913
167015,2983
147893,10542
178121,10455
146488,8851
75889,9949
158503,10176
73011,5639
47250,12449
147969,12973
150372,16164
47250,16532
4606,4078
119536,13388
106501,337
156643,6513
137311,6807
29703,10643
97096,1349
58447,8788
18101,12688
170564,14173
51110,4295
76594,16676
73011,3977
17583,5114
139448,6967
156643,15279
51110,14604
142682,18234
156643,18041
65585,5567
56121,14995
178121,7617
56121,1883
78862,11535
173996,12167
18101,3974
56416,18242
11931,6531
4822,10305
141042,17584
77238,12894
147893,9234
76594,12564
29703,14210
170564,9907
15007,12454
80233,10898
169866,3054
79645,7154
141303,4472
118667,7119
72731,12876
37709,3017
146058,15337
145654,10631
9449,10209
118667,12430
91173,10638
58259,6101
161127,11597
9400,17713
37411,5989
19436,7968
91173,8565
173996,10294
136269,4614
168538,7327
136269,2007
169581,13725
51159,4308
179600,3334
96032,10774
96032,11173
117229,9301
16896,6835
18087,15758
18087,7476
77238,9416
12508,17434
79645,8970
1083,13297
116287,5585
96032,10824
23127,16574
50492,756
42865,2271
106501,6735
51159,6164
32890,11385
42865,4470
886,7536
7845,17821
56416,12765
75325,3344
147893,13425
18101,12991
79963,7193
19436,5325
29458,8039
176563,7926
91059,11635
91059,15810
16896,16851
117799,17122
127422,18132
146575,17024
5425,16939
8970,12155
143122,1457
886,1587
47250,3728
15880,4081
128041,13753
131279,15333
65585,16043
17315,4279
143122,4762
76594,4752
68527,17653
137311,6826
139785,10734
164036,15280
85089,16655
126649,13382
120404,12748
9400,13811
97771,10788
61325,12128
12061,8842
105545,18010
156097,7161
20033,6941
75325,9532
10558,3044
156097,5148
121711,9753
9995,14196
5425,17769
16057,2461
61325,16250
42369,13335
70330,4792
174610,7417
176054,12737
151325,1124
37709,13078
123369,16920
66800,6599
102070,4861
179600,17743
7108,13066
89934,5272
54802,10630
56449,16624
21912,6425
44355,16639
9449,13657
147893,6583
126649,12905
4387,15738
32896,3294
119536,13605
31718,4363
56416,1584
53584,13238
102228,16124
137311,12459
54802,16216
6606,18270
15880,3104
92217,17914
17315,10793
82408,9259
15880,4658
154485,13713
77993,9536
139785,5416
620,4115
74779,3088
4606,53
117799,4546
16057,4474
65424,11317
89934,6506
32896,14748
97771,17444
104346,11742
126649,12431
61583,15060
104346,679
125625,4699
144707,7217
4417,6303
158503,10315
126649,8622
56963,10101
57815,10684
65424,337
104346,3201
124784,2901
116287,10829
152780,2804
106681,13052
24340,82
856,4826
52695,18123
7108,12927
32890,1364
117026,3913
103240,9307
74153,12795
144522,6992
57822,16372
55003,12176
127422,7237
15880,15529
173752,8109
165885,14780
132740,17604
169866,12434
8970,15903
31718,6496
120851,9155
71668,14275
6606,12365
151325,5905
134579,4973
176251,18197
176563,16776
116168,7421
176251,9625
25558,14393
142682,5113
176054,8011
146575,8605
80045,15829
58259,16354
27376,4890
134046,7802
146575,6491
886,17502
75889,17832
90456,14983
123369,8922
16896,17718
126095,3948
4606,4074
56449,3099
127865,5718
47250,10681
147893,9350
143122,14184
9300,16578
147893,5292
74355,523
164353,8807
102228,14612
76594,4599
51110,8572
174610,10505
7108,3078
32723,17749
88743,2159
73011,1170
26085,7719
57822,16455
152780,7504
166151,3165
119536,1575
9400,6992
51159,6037
99161,8438
113974,9955
141042,15035
55003,4429
134579,16765
80233,15633
6511,15050
97995,4707
118044,4181
96032,2028
25558,3842
108028,16790
62482,918
104346,4402
116168,13701
177065,15343
82408,14414
74355,17407
61583,3121
23969,14476
151268,5968
17315,2024
97096,17863
167414,11992
43621,3257
9300,14794
74355,4141
119536,6745
146163,3984
116391,409
127685,8464
27963,2245
28058,11313
886,2800
74779,12388
36777,8303
43143,4302
151008,17912
61239,17180
173747,14227
134046,12652
17315,12260
116287,11346
102070,13514
181989,9677
17583,18160
116168,1705
133163,12136
158490,1087
18087,15765
102070,2890
36777,17386
12061,17158
8970,6785
179940,17434
180920,11941
102228,9732
103112,13917
56416,12352
60840,13469
4822,5180
147893,16933
5425,4835
174805,8249
27963,3783
97771,6272
164036,13836
1083,12362
161127,3461
63684,14173
115872,16760
60840,13287
128864,13386
53584,7839
111931,1734
79918,14666
70330,11628
133183,8981
11931,9750
65424,17444
85089,7210
6952,8694
106681,10238
128164,9578
69552,10073
103112,14611
118203,363
111931,8848
1083,5114
119536,15940
144825,1431
58259,6424
74779,16821
133163,11192
96032,16989
28229,11879
8970,17229
90456,6585
103240,16169
44355,316
91173,11015
64576,9720
117229,4051
9449,6533
173996,10023
54770,16482
132740,12665
131279,9937
68195,13884
8970,3679
97995,5077
55003,13470
103240,8287
9400,12374
68195,8686
44355,5732
25558,9969
52228,17885
60295,5391
27963,14447
140540,8073
52228,11922
134046,395
51159,5906
164036,15246
106681,17764
106681,10858
165885,9243
120404,5604
4822,13195
62970,11206
9449,17502
31493,15275
10558,2060
36777,8433
165979,1819
140540,3542
65585,14310
31718,16852
145654,17224
118044,12286
20033,10501
42369,16530
43621,16679
164680,902
104346,11132
168538,6643
620,7044
6952,10560
31493,18028
133163,5757
168538,1696
31718,12703
118044,14128
38336,8077
4417,2186
79963,3645
113974,2452
74153,12593
65424,8444
158503,6726
116391,14237
37709,9850
53511,3577
42369,7778
102070,15026
120851,15712
101402,9809
181989,1742
144707,13842
61325,10634
53584,12883
176054,13888
154485,7112
58259,4368
74153,3722
85089,9613
128041,7695
121597,11555
173996,12285
620,13194
166151,578
4417,8251
169321,8602
92860,2097
5425,6574
31493,2966
66704,10816
5427,14746
68195,11696
92217,3995
156643,2148
79963,6065
151008,15013
53511,120
120404,17648
146058,8356
97995,5343
10558,6481
74779,31
179940,9601
48235,14514
57815,4342
9400,10358
133163,5992
154485,2909
169866,15090
27963,11260
143122,13311
53511,8522
75889,17443
128864,5890
4822,15991
154485,785
32662,8577
32896,10295
43621,4409
92860,5331
173752,18291
17583,10865
105545,14109
137311,555
47250,5859
146575,14518
118203,1129
856,9313
108028,9721
151325,5265
92217,6190
139582,14875
159403,12746
26085,17803
18101,8579
90456,10709
54802,10885
