cid_model,pid_model,label
117799,31,1
117799,10841,1
140540,15477,1
140540,10149,1
140540,9955,1
140540,10709,1
140540,5501,1
140540,736,1
140540,6194,1
140540,16917,1
140540,5326,1
140540,1594,1
140540,16633,1
140540,2170,1
140540,11884,1
140540,4989,1
140540,1748,1
140540,5737,1
140540,9069,1
140540,1770,1
179600,4883,1
179600,1571,1
179600,145,1
179600,14015,1
179600,6016,1
141042,13624,1
141042,13082,1
53584,184,1
53584,9955,1
53584,11600,1
53584,15522,1
53584,3197,1
53584,15707,1
23969,3974,1
23969,14233,1
23969,4883,1
23969,3721,1
23969,11617,1
23969,18011,1
23969,315,1
23969,16338,1
23969,5326,1
23969,8996,1
23969,16957,1
23969,6286,1
23969,11725,1
23969,15015,1
23969,1774,1
23969,6576,1
23969,13624,1
23969,3197,1
23969,17715,1
23969,6749,1
23969,14015,1
23969,13082,1
23969,16307,1
23969,16720,1
23969,14711,1
23969,10841,1
105545,10149,1
105545,9315,1
105545,4883,1
105545,17055,1
105545,315,1
105545,10797,1
105545,16408,1
105545,15522,1
105545,14015,1
105545,13082,1
105545,8868,1
128864,15163,1
128864,315,1
128864,16957,1
128864,17739,1
128864,6576,1
128864,14038,1
52228,1609,1
52228,4637,1
52228,8451,1
52228,17256,1
52228,1315,1
52228,3721,1
52228,13416,1
52228,2847,1
52228,12612,1
52228,2487,1
52228,2219,1
52228,5343,1
52228,7999,1
52228,5326,1
52228,8070,1
52228,6286,1
52228,3877,1
52228,14771,1
52228,2915,1
52228,11884,1
52228,18230,1
52228,1748,1
52228,3636,1
52228,4675,1
52228,6929,1
52228,12751,1
80233,8179,1
80233,1029,1
12508,7084,1
12508,4883,1
12508,3877,1
12508,14015,1
127422,15163,1
127422,4518,1
127422,4883,1
127422,4951,1
127422,9116,1
127422,7040,1
127422,2219,1
127422,9157,1
127422,5326,1
127422,12237,1
127422,6286,1
127422,3790,1
127422,3877,1
127422,4363,1
127422,14476,1
127422,5029,1
127422,17024,1
127422,8374,1
127422,14015,1
127422,6177,1
127422,13082,1
7845,15477,1
7845,13090,1
7845,9034,1
7845,736,1
7845,3774,1
7845,9327,1
7845,315,1
7845,15912,1
7845,2219,1
7845,5326,1
7845,8927,1
7845,11581,1
7845,16957,1
7845,4363,1
7845,14476,1
7845,17739,1
7845,5029,1
7845,6576,1
7845,11884,1
7845,17024,1
7845,8374,1
7845,16296,1
7845,16517,1
7845,12751,1
7845,1232,1
7845,671,1
21004,14015,1
6952,4883,1
6952,5608,1
6952,13996,1
6952,14015,1
6952,13082,1
158503,11700,1
158503,15477,1
158503,13898,1
158503,15724,1
158503,2711,1
158503,6778,1
158503,7017,1
158503,3229,1
158503,8254,1
158503,4883,1
158503,736,1
158503,17055,1
158503,9327,1
158503,315,1
158503,11269,1
158503,2219,1
158503,5326,1
158503,6157,1
158503,3258,1
158503,1257,1
158503,16957,1
158503,3790,1
158503,3877,1
158503,4363,1
158503,14476,1
158503,17739,1
158503,6576,1
158503,13624,1
158503,17024,1
158503,8374,1
158503,14015,1
158503,4675,1
180767,2005,1
180767,3161,1
180767,15477,1
180767,15163,1
180767,4934,1
180767,10457,1
180767,9192,1
180767,5571,1
180767,5702,1
180767,17256,1
180767,1315,1
180767,5580,1
180767,4883,1
180767,736,1
180767,9024,1
180767,9116,1
180767,9327,1
180767,315,1
180767,15177,1
180767,1045,1
180767,4384,1
180767,8194,1
180767,17405,1
180767,9396,1
180767,6381,1
180767,8690,1
180767,5608,1
180767,9800,1
180767,10797,1
180767,17362,1
180767,14816,1
180767,6286,1
180767,3790,1
180767,3877,1
180767,15522,1
180767,11803,1
180767,11884,1
180767,8799,1
180767,4989,1
180767,1029,1
180767,1748,1
180767,15879,1
180767,14015,1
180767,5394,1
180767,9415,1
180767,13082,1
180767,4675,1
180767,713,1
146488,10338,1
146488,4883,1
146488,8040,1
146488,15882,1
128164,9055,1
128164,9192,1
128164,6194,1
128164,12612,1
128164,6157,1
128164,4625,1
128164,3790,1
128164,14476,1
58259,4637,1
58259,1748,1
7108,3997,1
7108,2005,1
7108,1616,1
7108,8035,1
7108,4284,1
7108,15477,1
7108,10149,1
7108,6244,1
7108,15163,1
7108,10335,1
7108,12434,1
7108,10709,1
7108,2711,1
7108,15578,1
7108,9192,1
7108,10484,1
7108,16987,1
7108,17311,1
7108,843,1
7108,17850,1
7108,6778,1
7108,12997,1
7108,7017,1
7108,6807,1
7108,15376,1
7108,5137,1
7108,3231,1
7108,16124,1
7108,11605,1
7108,5501,1
7108,2068,1
7108,11040,1
7108,1315,1
7108,5580,1
7108,8254,1
7108,4883,1
7108,9034,1
7108,16953,1
7108,5416,1
7108,13416,1
7108,3731,1
7108,10418,1
7108,736,1
7108,17373,1
7108,9464,1
7108,15458,1
7108,11110,1
7108,9012,1
7108,12628,1
7108,9341,1
7108,9116,1
7108,9327,1
7108,8040,1
7108,11807,1
7108,315,1
7108,14354,1
7108,15085,1
7108,5421,1
7108,6194,1
7108,13516,1
7108,15882,1
7108,10633,1
7108,7040,1
7108,3287,1
7108,2847,1
7108,18012,1
7108,17669,1
7108,17242,1
7108,17405,1
7108,5275,1
7108,2219,1
7108,7420,1
7108,18211,1
7108,6599,1
7108,5343,1
7108,15769,1
7108,5326,1
7108,5510,1
7108,16907,1
7108,13972,1
7108,3050,1
7108,8927,1
7108,12199,1
7108,8070,1
7108,2774,1
7108,9800,1
7108,1696,1
7108,6793,1
7108,9044,1
7108,16957,1
7108,17799,1
7108,4436,1
7108,14816,1
7108,6286,1
7108,11710,1
7108,9591,1
7108,12285,1
7108,4029,1
7108,3877,1
7108,2248,1
7108,4363,1
7108,13682,1
7108,365,1
7108,15979,1
7108,14476,1
7108,12743,1
7108,18093,1
7108,16324,1
7108,2216,1
7108,1774,1
7108,11281,1
7108,12529,1
7108,6576,1
7108,11884,1
7108,8950,1
7108,15014,1
7108,17555,1
7108,15528,1
7108,13996,1
7108,1029,1
7108,1748,1
7108,17024,1
7108,8374,1
7108,3331,1
7108,16517,1
7108,6731,1
7108,3727,1
7108,4074,1
7108,1770,1
7108,9301,1
7108,14015,1
7108,4541,1
7108,2591,1
7108,12886,1
7108,270,1
7108,6960,1
7108,5148,1
7108,5394,1
7108,12244,1
7108,13082,1
7108,10568,1
7108,980,1
7108,444,1
7108,6929,1
7108,12225,1
7108,12751,1
7108,4138,1
7108,12116,1
7108,3789,1
7108,14711,1
7108,17284,1
7108,10841,1
7108,17100,1
7108,14608,1
7108,6016,1
7108,7393,1
7108,12239,1
16057,4284,1
16057,15477,1
16057,10149,1
16057,14760,1
16057,15163,1
16057,10709,1
16057,15578,1
16057,10315,1
16057,5702,1
16057,4883,1
16057,736,1
16057,11110,1
16057,17055,1
16057,9024,1
16057,9116,1
16057,8122,1
16057,9327,1
16057,315,1
16057,4964,1
16057,15085,1
16057,3241,1
16057,6881,1
16057,7688,1
16057,2219,1
16057,5326,1
16057,11581,1
16057,1480,1
16057,10797,1
16057,16957,1
16057,17362,1
16057,14816,1
16057,6286,1
16057,3877,1
16057,15819,1
16057,4363,1
16057,13682,1
16057,14476,1
16057,2216,1
16057,16520,1
16057,661,1
16057,8861,1
16057,15528,1
16057,17024,1
16057,8374,1
16057,17797,1
16057,36,1
16057,14015,1
16057,5394,1
16057,6177,1
16057,13082,1
16057,1808,1
16057,10841,1
16057,6016,1
16057,671,1
68527,15477,1
68527,1290,1
68527,10709,1
68527,10315,1
68527,4883,1
68527,6002,1
68527,736,1
68527,15458,1
68527,14354,1
68527,6194,1
68527,15424,1
68527,18211,1
68527,13746,1
68527,5326,1
68527,10797,1
68527,17518,1
68527,16324,1
68527,2682,1
68527,8214,1
68527,14038,1
68527,14567,1
68527,5909,1
42369,4883,1
42369,5326,1
42369,14015,1
17302,3924,1
17302,5017,1
79645,10149,1
79645,2847,1
79645,10797,1
131279,8194,1
131279,7686,1
131279,2219,1
131279,5326,1
131279,3790,1
131279,4363,1
131279,14476,1
131279,17024,1
131279,8374,1
131279,6016,1
120935,15477,1
120935,736,1
120935,462,1
120935,2487,1
120935,2219,1
120935,1594,1
120935,4363,1
120935,14476,1
120935,17024,1
120935,8374,1
120935,6016,1
130461,15477,1
130461,10149,1
130461,14728,1
130461,11679,1
130461,12485,1
130461,17850,1
130461,4305,1
130461,5137,1
130461,3765,1
130461,1315,1
130461,8254,1
130461,4883,1
130461,9034,1
130461,4951,1
130461,879,1
130461,736,1
130461,9983,1
130461,17373,1
130461,11110,1
130461,9024,1
130461,9327,1
130461,8040,1
130461,315,1
130461,3024,1
130461,14354,1
130461,15177,1
130461,4220,1
130461,3323,1
130461,15882,1
130461,7298,1
130461,17835,1
130461,5275,1
130461,1496,1
130461,8744,1
130461,15919,1
130461,5326,1
130461,9559,1
130461,109,1
130461,5608,1
130461,10797,1
130461,1257,1
130461,16957,1
130461,14002,1
130461,14816,1
130461,7319,1
130461,4029,1
130461,13682,1
130461,4085,1
130461,8542,1
130461,15522,1
130461,3205,1
130461,5029,1
130461,12529,1
130461,8778,1
130461,14038,1
130461,15528,1
130461,17489,1
130461,1029,1
130461,1748,1
130461,7294,1
130461,16870,1
130461,36,1
130461,14015,1
130461,9415,1
130461,13082,1
130461,8868,1
130461,1808,1
130461,2433,1
130461,6016,1
130461,4549,1
130461,11041,1
130461,15707,1
108028,2005,1
108028,4284,1
108028,15477,1
108028,11679,1
108028,8924,1
108028,9192,1
108028,15887,1
108028,4637,1
108028,8254,1
108028,4883,1
108028,736,1
108028,4257,1
108028,7549,1
108028,12628,1
108028,17055,1
108028,9327,1
108028,315,1
108028,15177,1
108028,3001,1
108028,14676,1
108028,7686,1
108028,2219,1
108028,5326,1
108028,6157,1
108028,3258,1
108028,16957,1
108028,17362,1
108028,6286,1
108028,11710,1
108028,8436,1
108028,15500,1
108028,3790,1
108028,4029,1
108028,3877,1
108028,4363,1
108028,13682,1
108028,6744,1
108028,14476,1
108028,8324,1
108028,205,1
108028,2216,1
108028,17739,1
108028,6576,1
108028,11884,1
108028,14038,1
108028,17489,1
108028,1029,1
108028,1748,1
108028,17024,1
108028,8374,1
108028,9446,1
108028,16870,1
108028,14015,1
108028,5394,1
108028,13082,1
108028,13021,1
108028,10568,1
108028,10841,1
108028,13046,1
108028,6824,1
55003,1974,1
55003,4883,1
55003,6039,1
55003,13823,1
55003,17362,1
55003,3877,1
55003,16520,1
55003,15528,1
55003,1029,1
55003,14015,1
182827,17879,1
182827,11710,1
182827,14039,1
182827,14540,1
4606,4883,1
4606,15337,1
4606,2219,1
4606,5326,1
4606,16957,1
4606,4363,1
4606,14476,1
4606,17739,1
4606,17024,1
4606,8374,1
4606,14015,1
69552,15163,1
69552,10484,1
69552,17475,1
69552,8254,1
69552,4883,1
69552,18012,1
69552,2219,1
69552,5326,1
69552,3877,1
69552,4363,1
69552,14476,1
69552,6576,1
69552,1748,1
69552,17024,1
69552,8374,1
69552,14015,1
69552,13082,1
99161,2005,1
99161,9526,1
99161,11700,1
99161,4284,1
99161,3974,1
99161,5497,1
99161,15477,1
99161,6938,1
99161,10149,1
99161,13898,1
99161,14760,1
99161,15724,1
99161,15163,1
99161,3250,1
99161,12553,1
99161,2373,1
99161,9315,1
99161,10709,1
99161,8924,1
99161,2711,1
99161,8982,1
99161,11303,1
99161,5455,1
99161,4585,1
99161,4637,1
99161,7017,1
99161,10315,1
99161,4452,1
99161,15376,1
99161,13950,1
99161,5702,1
99161,13750,1
99161,3231,1
99161,10516,1
99161,4523,1
99161,5501,1
99161,1184,1
99161,8090,1
99161,5580,1
99161,5411,1
99161,8254,1
99161,4883,1
99161,3721,1
99161,2678,1
99161,2091,1
99161,5416,1
99161,13416,1
99161,736,1
99161,14947,1
99161,17373,1
99161,9893,1
99161,6371,1
99161,6770,1
99161,17699,1
99161,17055,1
99161,9024,1
99161,9116,1
99161,9327,1
99161,315,1
99161,4964,1
99161,14354,1
99161,15177,1
99161,6182,1
99161,6194,1
99161,11600,1
99161,6829,1
99161,13962,1
99161,8259,1
99161,13325,1
99161,8959,1
99161,5311,1
99161,6881,1
99161,2847,1
99161,18012,1
99161,15912,1
99161,15424,1
99161,2219,1
99161,11373,1
99161,18211,1
99161,15919,1
99161,13746,1
99161,16107,1
99161,11632,1
99161,5326,1
99161,8927,1
99161,15961,1
99161,3924,1
99161,5017,1
99161,6157,1
99161,11581,1
99161,8996,1
99161,9800,1
99161,10797,1
99161,9044,1
99161,3258,1
99161,1257,1
99161,7120,1
99161,16957,1
99161,783,1
99161,1418,1
99161,13976,1
99161,17362,1
99161,14816,1
99161,6286,1
99161,11710,1
99161,8436,1
99161,3790,1
99161,4029,1
99161,3877,1
99161,2248,1
99161,4363,1
99161,13682,1
99161,12112,1
99161,14771,1
99161,1725,1
99161,14476,1
99161,4250,1
99161,17896,1
99161,2216,1
99161,17739,1
99161,2682,1
99161,15015,1
99161,6867,1
99161,15522,1
99161,2915,1
99161,16520,1
99161,11803,1
99161,9439,1
99161,16006,1
99161,14017,1
99161,8131,1
99161,6576,1
99161,11884,1
99161,16036,1
99161,661,1
99161,4989,1
99161,14038,1
99161,8861,1
99161,17555,1
99161,15528,1
99161,13996,1
99161,1029,1
99161,1748,1
99161,15879,1
99161,145,1
99161,17024,1
99161,8374,1
99161,12956,1
99161,3197,1
99161,7294,1
99161,16517,1
99161,15218,1
99161,17091,1
99161,979,1
99161,8601,1
99161,15994,1
99161,10926,1
99161,9301,1
99161,932,1
99161,14015,1
99161,5909,1
99161,4356,1
99161,15908,1
99161,2111,1
99161,4537,1
99161,270,1
99161,9415,1
99161,6177,1
99161,13082,1
99161,1570,1
99161,10568,1
99161,555,1
99161,15613,1
99161,12751,1
99161,6492,1
99161,17284,1
99161,31,1
99161,10841,1
99161,13305,1
99161,6016,1
99161,6490,1
99161,1342,1
99161,10181,1
99161,6447,1
99161,671,1
99161,12472,1
32723,10149,1
32723,11110,1
32723,6800,1
32723,1029,1
5427,5326,1
5427,16957,1
134579,10149,1
134579,14559,1
134579,14122,1
134579,17055,1
134579,2219,1
134579,5326,1
134579,16957,1
134579,4363,1
134579,14476,1
134579,14038,1
134579,17024,1
134579,8374,1
134579,13082,1
106501,6194,1
17583,15376,1
17583,18116,1
17583,15200,1
17583,8927,1
17583,13051,1
17583,5610,1
42865,783,1
59499,9206,1
4822,5909,1
177065,6286,1
150372,1479,1
147969,17489,1
178121,10149,1
178121,9034,1
178121,13477,1
178121,5029,1
178121,10568,1
9300,6286,1
176054,14947,1
176054,10688,1
75325,6286,1
75325,15522,1
75325,2915,1
75325,13996,1
37661,315,1
37661,5326,1
37661,11710,1
37661,16239,1
16896,1029,1
142682,10149,1
142682,14760,1
142682,17055,1
142682,315,1
142682,5326,1
142682,7919,1
142682,8927,1
142682,9800,1
142682,15255,1
142682,16957,1
142682,1725,1
142682,17739,1
142682,6576,1
142682,14038,1
142682,444,1
142682,1751,1
102228,17850,1
102228,14947,1
102228,6770,1
102228,2487,1
102228,2219,1
102228,14816,1
102228,3790,1
102228,4363,1
102228,14476,1
102228,8374,1
102228,6016,1
74779,15477,1
74779,736,1
74779,315,1
74779,16957,1
74779,5646,1
74779,14711,1
61325,12751,1
47250,9939,1
47250,14562,1
47250,12356,1
47250,10833,1
47250,2690,1
47250,3604,1
47250,15807,1
47250,12509,1
47250,10338,1
47250,2843,1
47250,513,1
47250,13095,1
47250,988,1
47250,5193,1
47250,4305,1
47250,10511,1
47250,10756,1
47250,13081,1
47250,3949,1
47250,5739,1
47250,1432,1
47250,17937,1
47250,902,1
47250,1082,1
47250,6075,1
47250,9330,1
47250,14615,1
47250,6383,1
47250,5746,1
47250,17148,1
47250,17855,1
47250,15851,1
47250,9416,1
47250,11718,1
47250,7549,1
47250,13377,1
47250,12275,1
47250,6959,1
47250,8092,1
47250,6425,1
47250,693,1
47250,3149,1
47250,12708,1
47250,16981,1
47250,874,1
47250,14168,1
47250,6555,1
47250,8346,1
47250,6054,1
47250,17557,1
47250,15555,1
47250,16571,1
47250,2962,1
47250,6750,1
47250,4332,1
47250,3442,1
47250,14290,1
47250,3153,1
47250,426,1
47250,15318,1
47250,10686,1
47250,9433,1
47250,5664,1
47250,9785,1
47250,17456,1
47250,9817,1
47250,13959,1
47250,4146,1
47250,15188,1
47250,4058,1
47250,8089,1
47250,12318,1
47250,7970,1
47250,18211,1
47250,4841,1
47250,13746,1
47250,6962,1
47250,1965,1
47250,9795,1
47250,17968,1
47250,11187,1
47250,16672,1
47250,469,1
47250,17289,1
47250,15747,1
47250,11224,1
47250,17686,1
47250,2187,1
47250,12632,1
47250,10557,1
47250,16502,1
47250,10352,1
47250,9691,1
47250,7062,1
47250,3816,1
47250,8408,1
47250,8043,1
47250,17414,1
47250,8400,1
47250,14807,1
47250,7559,1
47250,11753,1
47250,4915,1
47250,12725,1
47250,6661,1
47250,4112,1
47250,16871,1
47250,10687,1
47250,12091,1
47250,13227,1
47250,3076,1
47250,12638,1
47250,491,1
47250,11063,1
47250,7884,1
47250,9009,1
47250,13875,1
47250,9304,1
47250,1269,1
47250,1170,1
47250,14541,1
47250,1171,1
47250,18184,1
47250,4398,1
47250,14931,1
47250,5688,1
47250,8105,1
47250,4876,1
47250,11093,1
47250,223,1
47250,3744,1
47250,14743,1
47250,6580,1
47250,9439,1
47250,14915,1
47250,15060,1
47250,16905,1
47250,5358,1
47250,11847,1
47250,12529,1
47250,13896,1
47250,9043,1
47250,8661,1
47250,393,1
47250,10643,1
47250,7090,1
47250,13378,1
47250,10919,1
47250,16422,1
47250,4581,1
47250,106,1
47250,8537,1
47250,16513,1
47250,10901,1
47250,17638,1
47250,1603,1
47250,3188,1
47250,954,1
47250,12746,1
47250,731,1
47250,12731,1
47250,8373,1
47250,8013,1
47250,6988,1
47250,6818,1
47250,1084,1
47250,10656,1
47250,9822,1
47250,15524,1
47250,12244,1
47250,11112,1
47250,10245,1
47250,3783,1
47250,1271,1
47250,3983,1
47250,9713,1
47250,10568,1
47250,6338,1
47250,3019,1
47250,5979,1
47250,13943,1
47250,17796,1
47250,7620,1
47250,6296,1
47250,8215,1
47250,9790,1
47250,8495,1
47250,4022,1
47250,1445,1
47250,15222,1
47250,1451,1
47250,15081,1
47250,11102,1
47250,10689,1
47250,11626,1
47250,16973,1
47250,313,1
18087,17373,1
18087,10797,1
123369,10149,1
123369,10797,1
103112,315,1
103112,9415,1
117392,15477,1
117392,16874,1
117392,3721,1
117392,736,1
117392,9327,1
117392,5326,1
117392,3877,1
117392,2915,1
117392,14038,1
117392,14573,1
117392,15659,1
90456,17495,1
90456,6002,1
90456,5546,1
90456,18026,1
135534,9327,1
135534,16870,1
135534,5394,1
25558,9939,1
25558,14562,1
25558,12356,1
25558,10833,1
25558,2690,1
25558,3604,1
25558,15807,1
25558,12509,1
25558,10338,1
25558,2843,1
25558,513,1
25558,13095,1
25558,988,1
25558,5193,1
25558,4305,1
25558,10511,1
25558,10756,1
25558,13081,1
25558,3949,1
25558,5739,1
25558,1432,1
25558,17937,1
25558,902,1
25558,1082,1
25558,6075,1
25558,9330,1
25558,14615,1
25558,6383,1
25558,5746,1
25558,17148,1
25558,17855,1
25558,15851,1
25558,9416,1
25558,11718,1
25558,7549,1
25558,13377,1
25558,12275,1
25558,6959,1
25558,8092,1
25558,6425,1
25558,693,1
25558,3149,1
25558,12708,1
25558,16981,1
25558,874,1
25558,14168,1
25558,6555,1
25558,8346,1
25558,6054,1
25558,17557,1
25558,15555,1
25558,16571,1
25558,2962,1
25558,6750,1
25558,4332,1
25558,3442,1
25558,14290,1
25558,3153,1
25558,426,1
25558,15318,1
25558,10686,1
25558,9433,1
25558,5664,1
25558,9785,1
25558,17456,1
25558,9817,1
25558,13959,1
25558,4146,1
25558,15188,1
25558,4058,1
25558,8089,1
25558,12318,1
25558,7970,1
25558,18211,1
25558,4841,1
25558,13746,1
25558,6962,1
25558,1965,1
25558,9795,1
25558,17968,1
25558,11187,1
25558,16672,1
25558,469,1
25558,17289,1
25558,15747,1
25558,11224,1
25558,17686,1
25558,2187,1
25558,12632,1
25558,10557,1
25558,16502,1
25558,10352,1
25558,9691,1
25558,7062,1
25558,3816,1
25558,8408,1
25558,8043,1
25558,17414,1
25558,8400,1
25558,14807,1
25558,7559,1
25558,11753,1
25558,4915,1
25558,12725,1
25558,6661,1
25558,4112,1
25558,16871,1
25558,10687,1
25558,12091,1
25558,13227,1
25558,3076,1
25558,12638,1
25558,491,1
25558,11063,1
25558,7884,1
25558,9009,1
25558,13875,1
25558,9304,1
25558,1269,1
25558,1170,1
25558,14541,1
25558,1171,1
25558,18184,1
25558,4398,1
25558,14931,1
25558,5688,1
25558,8105,1
25558,4876,1
25558,11093,1
25558,223,1
25558,3744,1
25558,14743,1
25558,6580,1
25558,9439,1
25558,14915,1
25558,15060,1
25558,16905,1
25558,5358,1
25558,11847,1
25558,12529,1
25558,13896,1
25558,9043,1
25558,8661,1
25558,393,1
25558,10643,1
25558,7090,1
25558,13378,1
25558,10919,1
25558,16422,1
25558,4581,1
25558,106,1
25558,8537,1
25558,16513,1
25558,10901,1
25558,17638,1
25558,1603,1
25558,3188,1
25558,954,1
25558,12746,1
25558,731,1
25558,12731,1
25558,8373,1
25558,8013,1
25558,6988,1
25558,6818,1
25558,1084,1
25558,10656,1
25558,9822,1
25558,15524,1
25558,12244,1
25558,11112,1
25558,10245,1
25558,3783,1
25558,1271,1
25558,3983,1
25558,9713,1
25558,10568,1
25558,6338,1
25558,3019,1
25558,5979,1
25558,13943,1
25558,17796,1
25558,7620,1
25558,6296,1
25558,8215,1
25558,9790,1
25558,8495,1
25558,4022,1
25558,1445,1
25558,15222,1
25558,1451,1
25558,15081,1
25558,11102,1
25558,10689,1
25558,11626,1
25558,16973,1
25558,313,1
136269,9192,1
136269,14816,1
27963,7040,1
174610,4284,1
174610,15477,1
174610,13416,1
174610,736,1
174610,617,1
174610,315,1
174610,6194,1
174610,2847,1
174610,2219,1
174610,5326,1
174610,4898,1
174610,16957,1
174610,17362,1
174610,6286,1
174610,4363,1
174610,13682,1
174610,14476,1
174610,14038,1
174610,17024,1
174610,8374,1
174610,11695,1
174610,2591,1
88743,1342,1
28229,3258,1
116287,4934,1
61239,9192,1
61239,10158,1
61239,13725,1
61239,6194,1
61239,3459,1
65585,6286,1
103240,13823,1
158490,8988,1
158490,9192,1
158490,13090,1
158490,3195,1
158490,5326,1
158490,7919,1
158490,1480,1
158490,10797,1
158490,16957,1
158490,17739,1
158490,6576,1
158490,1029,1
158490,17091,1
62482,9192,1
62482,5580,1
62482,8040,1
62482,15882,1
62482,10827,1
62482,7040,1
62482,15919,1
62482,5326,1
62482,11581,1
62482,1748,1
62482,8698,1
85089,1433,1
85089,12537,1
85089,2847,1
85089,11884,1
53896,6286,1
53896,3877,1
53896,14015,1
145654,6157,1
145654,12145,1
145654,12529,1
89934,3451,1
89934,10516,1
89934,8090,1
89934,5411,1
89934,12628,1
89934,15309,1
89934,1045,1
89934,5889,1
89934,5326,1
89934,5608,1
89934,10797,1
89934,16365,1
89934,6286,1
89934,11710,1
89934,12112,1
89934,17739,1
89934,234,1
89934,1029,1
89934,7294,1
89934,17715,1
89934,12374,1
89934,1770,1
89934,5932,1
4387,10149,1
4387,8179,1
24340,15974,1
24340,15010,1
111931,9327,1
111931,10799,1
111931,10926,1
56416,4637,1
152780,2711,1
152780,7686,1
152780,2219,1
152780,11800,1
152780,1519,1
152780,6157,1
152780,395,1
152780,12145,1
152780,4363,1
152780,14476,1
152780,3051,1
152780,17024,1
152780,8374,1
152780,14015,1
152780,6177,1
152780,5730,1
152780,6016,1
886,14002,1
856,11281,1
168538,6617,1
91059,9206,1
91059,6157,1
91059,12145,1
135479,9939,1
135479,14562,1
135479,12356,1
135479,10833,1
135479,2690,1
135479,3604,1
135479,15807,1
135479,12509,1
135479,10338,1
135479,2843,1
135479,513,1
135479,13095,1
135479,988,1
135479,5193,1
135479,4305,1
135479,10511,1
135479,10756,1
135479,13081,1
135479,3949,1
135479,5739,1
135479,1432,1
135479,17937,1
135479,902,1
135479,1082,1
135479,6075,1
135479,9330,1
135479,14615,1
135479,6383,1
135479,5746,1
135479,17148,1
135479,17855,1
135479,15851,1
135479,9416,1
135479,11718,1
135479,7549,1
135479,13377,1
135479,12275,1
135479,6959,1
135479,8092,1
135479,6425,1
135479,693,1
135479,3149,1
135479,12708,1
135479,16981,1
135479,874,1
135479,14168,1
135479,6555,1
135479,8346,1
135479,6054,1
135479,17557,1
135479,15555,1
135479,16571,1
135479,2962,1
135479,6750,1
135479,4332,1
135479,3442,1
135479,14290,1
135479,3153,1
135479,426,1
135479,15318,1
135479,10686,1
135479,9433,1
135479,5664,1
135479,9785,1
135479,17456,1
135479,9817,1
135479,13959,1
135479,4146,1
135479,15188,1
135479,4058,1
135479,8089,1
135479,2219,1
135479,12318,1
135479,7970,1
135479,18211,1
135479,4841,1
135479,13746,1
135479,6962,1
135479,1965,1
135479,9795,1
135479,17968,1
135479,11187,1
135479,16672,1
135479,469,1
135479,17289,1
135479,15747,1
135479,11224,1
135479,17686,1
135479,2187,1
135479,12632,1
135479,10557,1
135479,16502,1
135479,10352,1
135479,9691,1
135479,7062,1
135479,3816,1
135479,8408,1
135479,8043,1
135479,17414,1
135479,8400,1
135479,14807,1
135479,7559,1
135479,11753,1
135479,4915,1
135479,12725,1
135479,6661,1
